2;Básico;Question words;Choose the best question for the following answer: "Yesterday.";When did you arrive?;What did you do?;When will you finish it?;Where did you arrive?
2;Básico;Question words;Complete the question: "What __________ he do for a living? He is an architect.";does;has;is;do
2;Básico;Question words;Choose the correct alternative to complete the question. "Where _______________ find a pen?";can I find;don't I;I can't find;is
2;Básico;Question words;Fill in the gap with the correct alternative: "When __________ your birthday?";is;does;are;will
2;Básico;Question words;|Choose the incorrect alternative: 
Susan: "How does he drive?"
Bart: "__________."|;Never;Fast;Carefully;Well
2;Básico;Question words;|Complete the question: 
James: " __________ is the meeting room?"
Michelle: "Downstairs."|;Where;When;What;Why
2;Básico;Question words;Complete the question: "I'm organizing a party. __________ can came?";Who;When;Why;What
2;Básico;Question words;Match the question to the answer: "Because I had too much to do.";"Why did you go to work on Saturday?";"When did you go to work?";"What are you doing here?";"Why did you watch this movie?"
2;Básico;Question words;Complete the question: "What time __________ the bus __________?";does/leave;does/leaves;do/leaves;do/leave
2;Básico;Question words;Choose the incorrect alternative: "Where are you __________ ?";parents;going;staying;now
2;Básico;Question words;|Complete the question: 
Nicolas: "__________ does he work?" 
Robert: "He works downtown."|;Where;When;What;Who
2;Básico;Question words;Choose the best alternative: "I like your bag. __________ did you buy it?";Where;What;Who;What's
2;Básico;Question words;Complete the question: "Who __________ in that apartment?";lives;live;living;does live
2;Básico;Question words;Complete the sentence: "Excuse me, __________ the subway station, please?";where is;is where;who is;when is
2;Básico;Question words;Complete the question: "_______________ your mother's name?;What is;How is;Who is;Is what
2;Básico;Question words;Choose the correct alternative: "__________ many letters are there in your name?";How;What;Which;Do
2;Básico;Question words;Complete the question: "_______________ the president of your country?";Who is;How is;When is;Who are
2;Básico;Question words;Choose the correct alternative: "__________ country is your father from?";What;Where;Who;When
2;Básico;Question words;Complete the question: "__________ my pen? I need to sign this document.";Where is;Is where;When is;How is
2;Básico;Question words;Choose the correct alternative: "__________ much does it cost to fly to Japan?";How;What;Which;Who
2;Básico;Question words;Choose the best alternative: "What kind of car _______________?";does she have;she has;is she having;we have
2;Básico;Question words;Complete the question: "__________ do your parents do?";What;Who;When;Which
2;Básico;Question words;|Complete the question:
Sandra: "_______________ the last time you traveled abroad?"
Chris: "It was 5 years ago."|;When was;When is;Where was;What
2;Básico;Question words;|Choose the correct alternative:
Aimee: "__________ is the Louvre?"
Peter: "It is a museum."|;What;When;How;Which
2;Básico;Question words;|Complete the question:
John: "__________ is the capital of France?"
Tom: "It is Paris."|;What;Where;When;How
2;Básico;Question words;|Choose the correct alternative:
Ann: "__________ is Tom Cruise?"
Paula: "He is an actor."|;Who;What;Where;When
2;Básico;Question words;|Complete the question:
Mick: "__________ is Carnival in Rio de Janeiro?"
Ted: "It is usually in February." |;When;What;Where;How
2;Básico;Question words;Choose the correct alternative: "_______________ does it cost to fly to Buenos Aires?";How much;How many;Where;How
2;Básico;Question words;Choose the correct answer: "_______________ apples do we have to buy?";How many;When;Where;How much
2;Básico;Question words;Complete the question: "__________ is the Sahara desert?";Where;When;How many;Whose
2;Básico;Question words;|Complete the dialogue:
Kate: "__________ are the Andes Mountains?"
John: "They are in South America."|;Where;When;How;Which
2;Básico;Question words;Complete the question: "__________ dress do you prefer? The white one or the black one?";Which;Where;How;When
2;Básico;Question words;|Complete the dialogue:
Mark: "__________ is the New York Times?"
Peter: "It is an American newspaper."|;What;Where;Which;How much
2;Básico;Question words;Match the question to the answer: "Because I woke up too early.";"Why are you so tired?";"Why don't you go to bed?";"Where is your office?";"What time do you wake up?"
2;Básico;Question words;|Complete the question:
Suzy: "Why __________ open the window?"
Carl: "Because it's cold."|;don't you;do you;you don't;can you
2;Básico;Question words;|Complete the question:
