2;Intermediate;Connectives;Choose the correct alternative: "I went to the supermarket, __________ it was closed.";but;so;or;as;;JM
2;Intermediate;Connectives;Complete the sentence: "Brazil shares boarders with countries _______________ Paraguay and Bolivia.";such as;as in;in addition;than;;JM
2;Intermediate;Connectives;Choose the correct alternative: "I know the book is very complex, __________ I liked it.";but;that;unless;while;;JM
2;Intermediate;Connectives;Complete the sentence: "I quit my job __________ I wanted to try a new career.";because;moreover;suddenly;unless;;JM
2;Intermediate;Connectives;Choose the best alternative: "Sorry, I am trying to concentrate on the meeting, __________ I have a terrible headache.";but;meanwhile;therefore;unless;;JM
2;Intermediate;Connectives;Choose the correct alternative: "They knew the project had failed. __________, they knew whose fault it was.";Besides;Because;Unless;Such as;;JG
2;Intermediate;Connectives;Complete the sentence: "I didn't have time to watch the play. __________, the reviews were awful.";Besides;Such as;Thus;While;;JG
2;Intermediate;Connectives;Choose the best answer: "Sally realized she had been rude to him. __________, she apologized.";So;Such as;As for;With regard to;;JG
2;Intermediate;Connectives;Choose the correct answer: "The kids went to school. __________, I did some shopping.";Meanwhile;But;In addition;For example;;JG
2;Intermediate;Connectives;|Complete the dialogue:
Tessa: "Why didn't you hire her?"
Allan: "Well, _______________, she wasn't qualified enough."|;to begin with;but;however;furthermore;;JG
2;Intermediate;Connectives;Choose the best alternative: "She got upset. __________, she was able to manage it.";However;With regard to;Such as;Unless;;JG
2;Intermediate;Connectives;Choose the correct alternative: "She considered all of her options. _______________, she decided to come home.";In the end;Whereas;On the other hand;Besides;;JG
2;Intermediate;Connectives;Complete the sentence: "Many cities, _______________ New York and Paris, have bike lanes.";such as;but;whereas;finally;;JG
2;Intermediate;Connectives;Choose the best answer: "Some of the European languages come from Latin. _______________, French, Portuguese, and Spanish.";For example;As a result;Consequently;Meanwhile;;JG
2;Intermediate;Connectives;Choose the correct answer: "My mother likes foreign movies. _______________, French, Italian, and Argentinian.";For example;Firstly;With regard to;Moreover;;JG
2;Intermediate;Connectives;Complete the sentence: "Adam broke the law. _______________, he is going to jail.";As a result;With regard to;However;On the other hand;;JG
2;Intermediate;Connectives;Choose the best answer: "Sarah is only 16. __________, she is not allowed to drive.";Therefore;Whereas;Such as;Because;;JG
2;Intermediate;Connectives;Choose the correct answer: "Peter has been sick all week. __________, he hasn't come to work.";Consequently;Because;But;Whereas;;JG
2;Intermediate;Connectives;|Complete the sentence: "The place is an island; __________ the name Cayman Islands."|;hence;because;however;to begin with;;JG
2;Intermediate;Connectives;Choose the best answer: "The clothes are handmade and __________ expensive.";hence;because;but;however;;JG
2;Intermediate;Connectives;Choose the correct answer: "He likes doing sports, __________ she hates it.";whereas;such as;with regard to;for example;;JG
2;Intermediate;Connectives;Choose the best alternative: "Summer is very hot here. _______________, winter is very cold.";On the contrary;With regard to;For example;Firstly;;JG
2;Intermediate;Connectives;Choose the correct alternative: "Some crops have failed. __________, the tomatoes did quite well.";However;With reference to;For example;Secondly;;JG
2;Intermediate;Connectives;Complete the sentence: "I have slept a lot and __________ I am still tired.";yet;because;but;meanwhile;;JG
2;Intermediate;Connectives;Choose the best answer: "I like being single. _______________, it would be nice to get married and have children.";On the other hand;Because;With regard to;In addition;;JG
2;Intermediate;Connectives;Choose the correct answer: "I have already solved the first problem. _______________ the second one, I think I may need some help.";As for;Secondly;In addition;Moreover;;JG
2;Intermediate;Connectives;Choose the best alternative: "_______________ her past, I really don't care about it.";With regard to;Because;In addition;On the contrary;;JG
2;Intermediate;Connectives;Choose the correct alternative: "_______________ our business, I really think we are going to thrive." ;As for;Moreover;On the other hand;Such as;;JG
2;Intermediate;Connectives;Complete the sentence: "The weather was cold. _______________ the beach, it was beautiful and calm.";As for;Because;Firstly;Such as;;JG
2;Intermediate;Connectives;Choose the best answer: "_______________, we will need to put in a great deal of effort to make it work.";In short;As for;With regard to;But;;JG
2;Intermediate;Connectives;Choose the correct answer: "_______________, I think Sarah did a good job.";On the whole;As for;Because;With reference to;;JG
