2;Intermediate;Prepositions;Complete the sentence: "She was born __________ New York.";in;on;at;to;;JM
2;Intermediate;Prepositions;Fill in the gap with the correct preposition: "OK, bye! See you tomorrow __________ work.";at ;in;on;by;;JM
2;Intermediate;Prepositions;Complete the sentence: "I get up _________ 8 o'clock __________ the morning every weekday.";at/in;in/in;on/at;at/of;;JM
2;Intermediate;Prepositions;Complete the sentence: "I usually have lunch __________ 12:30 __________ weekdays.";at/on;on/at;in/for;in/on;;JM
2;Intermediate;Prepositions;Complete the sentence: "I moved to Brazil two years __________.";ago;before;past;back;;JM
2;Intermediate;Prepositions;Choose the correct alternative: "Don't worry, I'll be back __________ an hour.";in;on;until;at;;JM
2;Intermediate;Prepositions;Choose the best alternative: "__________ weekends, she likes going to the movies.";On;In;By;For;;JM
2;Intermediate;Prepositions;Complete the sentence: "She got married __________ November, __________ Christmas.";in/before;in/in;on/before;at/after;;JM
2;Intermediate;Prepositions;Choose the correct prepositions: "They usually arrive __________ 9 o'clock __________ the morning.";at/in;at/on;on/in;in/in;;JM
2;Intermediate;Prepositions;Complete the sentence: "OK, let's talk __________ the project now.";about;on;with;at;;JM
2;Intermediate;Prepositions;Choose the correct alternative: "It's important that you talk __________ your family about it.";to;for;of;by;;JM
2;Intermediate;Prepositions;Fill in the gap with the correct preposition: "I'm afraid __________ spiders.";of;with;at;by;;JM
2;Intermediate;Prepositions;Complete the sentence: "I forgive you __________ not coming to my birthday party.";for;about;of;on;;JM
2;Intermediate;Prepositions;Choose the best alternative: "I'm worried __________ my daughter. She doesn't like studying.";about;of;for;at;;JM
2;Intermediate;Prepositions;Complete the sentence: "We went __________ the park __________ the afternoon.";to/in;to/at;at/in;for/on;;JM
2;Intermediate;Prepositions;Choose the correct alternative: "My brother is a good swimmer. He can swim __________ more than four hours straight.";for;over ;before;by;;JM
2;Intermediate;Prepositions;Choose the correct preposition: "I got to the airport __________ bus.";by;on;of;through;;JM
