2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "My boss never gets stressed. She is the most __________ person in the office.";nice;peaceful;relaxed;laid-back;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "My aunt cries easily. She is the most __________ person I've ever met.";nice;emotional;passionate;sentimental;;JM
2;Intermediate;Comparative and superlative adjectves;Which of the following alternatives is incorrect? "Living in the city is __________ than living in the countryside.";bigger;better;more expensive;worse;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "What's the __________ supermarket in your neighborhood?";better;cheapest;biggest;most expensive;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "What's the _______________ dish you have in your restaurant?";stranger;best;most delicious ;cheapest;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "What are the _______________ names for girls in your country?";most popular;more common;more beautiful;prettier;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "What's the __________ way to cook rice?";faster;simplest;best;most efficient;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the incorrect alternative: "My cousin is the most __________ person I've ever met. She surfs, plays soccer and rides a horse.";talkative;active;energetic;athletic;;JM
2;Intermediate;Comparative and superlative adjectves;|Complete the sentence: 
Jen: "What are the __________ countries in the world?"
Lindsay: "I don't know, probably Russia and the USA."|;coldest;further;more dangerous;bigger;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "James is the __________ teacher I've ever had. He always makes me laugh.";funniest;most introverted;most sensible;most energetic;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "I never hear Linda's voice. I think she is the _______________ person I've ever met.";shyest;most optimistic;most clumsy;quieter;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "Physics is _______________ than Mathematics.";more difficult;most difficult ;easiest;more easy;;JM
2;Intermediate;Comparative and superlative adjectves;|Complete the dialogue: 
Anne: "What is the __________ month of the year?"
Mark: "February."|;shortest;better;longest;more exciting;;JM
2;Intermediate;Comparative and superlative adjectves;Fill in the blank with the correct alternative: "This hotel is excellent and it's near the city's __________ restaurants." ;best;bigger;more delicious;most cheap;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the question: "The greyhound is the __________ dog in the world.";fastest;faster;more fast;most faster;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "If you want to lose weight, you should make __________ meal choices.";healthier ;health;best;worse;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the question: "Excuse me please, how can I get to the __________ subway station?";nearest;nearer;less farther;near;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the question: "What's the most __________ and ___________ city you've ever been to?";exciting/fascinating;pretty/lively;cheap/interesting;small/peaceful;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the question: "What's the __________ building in the world?";tallest;bigger;more beautiful;wider;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the correct alternative: "What are the __________ cities to live in your country?";healthiest;better;more expensive;worse;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "Cycling during the night is _______________ because you are _______________.";more dangerous/less visible;most dangerous/least visible;less dangerous/less visible;more dangerous/least visible;;JM
2;Intermediate;Comparative and superlative adjectves;Fill in the blank with the correct alternative: "Family is _______________ to me than money." ;more important;most special;good;best;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "You should get some fresh air. You'll fell much __________ afterwards.";better;more better;best;good;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "Usually, crime rates are __________ in big cities than in rural areas.";higher;more;bad;worst;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the correct alternative: "My life would be _______________ if it wasn't for the traffic.";less stressful ;more stressful;most stressful;least stressful;;JM
2;Intermediate;Comparative and superlative adjectves;Complete the sentence: "He is one of the _______________ negotiators I've ever met.";most skilled;more skilled;very skilled;skilled;;JM
2;Intermediate;Comparative and superlative adjectves;Choose the best answer: "My sister is the most _______________ person I have ever met.";lovable;love;smartest;taller;;JG
2;Intermediate;Comparative and superlative adjectves;Choose the best alternative: "Sweden is one of the most _______________ countries in the world.";peaceful;small;richest;happier;;JG
2;Intermediate;Comparative and superlative adjectves;Choose the correct answer: "The Shining is one of the __________ movies I have ever seen.";scariest;scarier;longer;darker;;JG
