Inglês,Básico,Verb to Be,Complete the sentence:  Anna: "Are you and Mark cousins?" Stella: "No, we __________."
Inglês,Básico,Verb to Be,Choose the correct answer:  Mark: "__________ this your seat?" Peter: "Yes, it __________."
Inglês,Básico,Verb to Be,Complete the sentence: "We __________ Brazilian. We are not Portuguese."
Inglês,Básico,Verb to Be,Choose the correct alternative:  Aimee: "Are you an engineer?" Paul: "Yes, I __________."
Inglês,Básico,Verb to Be,Choose the correct answer: Lisa: "Is your room number 12?" Mick: "No, it __________. It is number 15."
Inglês,Básico,Verb to Be,Complete the sentence: "__________ Lulu a dog?"
Inglês,Básico,Verb to Be,Choose the correct alternative: "My dad __________ an astronaut. He is a dentist."
Inglês,Básico,Verb to Be,Choose the correct answer: "__________ you cold?"
Inglês,Básico,Verb to Be,Complete the question: "_______________ tall enough to play on the basketball team?"
Inglês,Básico,Verb to Be,Complete the dialogue:  "_______________ in South America?" "Yes, _______________."
Inglês,Básico,Verb to Be,Choose the correct alternative:  Ann: "Where __________ Tim and Sue?" Mark: "They __________ at school."
Inglês,Básico,Verb to Be,Choose the correct answer: "The teachers always say good things about my son. He __________ a very good student."
Inglês,Básico,Verb to Be,Complete the sentence: "The weather is nice today. It __________ raining."
Inglês,Básico,Verb to Be,Choose the correct alternative: "It __________ 10 o'clock! You __________ going to be late for school!"
Inglês,Básico,Verb to Be,Complete the dialogue:  Sally: "__________ John rich?" Bob: "Yes, he __________ vey rich."
Inglês,Básico,Verb to Be,Choose the correct answer: "Don't come in! Your shoes __________ very dirty!"
Inglês,Básico,Verb to Be,Complete the sentence: "Can you help me, please? This bag __________ very heavy."
Inglês,Básico,Verb to Be,Complete the dialogue: Sue: "Where __________ Aimee's car?" Peter: "It __________ in the garage."
Inglês,Básico,Verb to Be,Complete the dialogue: Mark: "__________ your mom retired?" Sarah: "No, she __________."
Inglês,Básico,Verb to Be,Choose the correct answer: "Take my car. They keys __________ on the table."
Inglês,Básico,Verb to Be,Complete the sentence: "Your watch __________ really beautiful. I loved it."
Inglês,Básico,Verb to Be,Choose the best answer: "My friend and I __________ dentists. __________ aren't phychologists."
Inglês,Básico,Verb to Be,Complete the sentence: "The Leaning Tower of Pisa is in Italy. _______________ in France."
Inglês,Básico,Verb to Be,Choose the correct alternative: "My neighbour's children __________ very disobedient. They never listen to their parents."
Inglês,Básico,Verb to Be,Complete the sentence: "Hello, nice to meet you. These __________ my business partners, James and Alice."
Inglês,Básico,Verb to Be,Complete the sentence: "My parents love Italian food. Their favorite food __________ ravioli."
Inglês,Básico,Verb to Be,Complete the sentence: "My family __________ very big."
Inglês,Básico,Verb to Be,Choose the correct alternative: "Nathalie __________ sick today."
Inglês,Básico,Verb to Be,Complete the sentence with the correct alternative: "Okay, you are right. I __________ sorry."
Inglês,Básico,Verb to Be,Choose the correct alternative: "They __________ all very good friends."
Inglês,Básico,Verb to Be,Complete the sentence: "Today __________ the 19th of January."
Inglês,Básico,Verb to Be,What is the correct alternative? "I _________ a software developer."
Inglês,Básico,Verb to Be,Choose the correct form: "She __________ here right now. May I take a message?"
Inglês,Básico,Verb to Be,Choose the correct alternative: "___ she his boss?"
Inglês,Básico,Verb to Be,Complete the sentence: "Adolescents ___ usually very active."
Inglês,Básico,Verb to Be,Which of the following alternatives is incorrect?: "I ____ a lawyer."
Inglês,Básico,Verb to Be,Choose the correct alternative: "My father ___ in the kitchen."
Inglês,Básico,Verb to Be,Choose the correct answer: "The pupils ___ at school today."
Inglês,Básico,Verb to Be,Choose the correct alternative: "It ___ Sunday today."
Inglês,Básico,Verb to Be,Choose the correct answer:" ___ careful! It is hot!"
Inglês,Básico,Verb to Be,Complete the sentence: " ___ you from Scotland?"
Inglês,Básico,Verb to Be,Choose the incorrect alternative: "His sister ___ seven years old."
Inglês,Básico,Verb to Be,Choose the incorrect alternative: "We ___ children."
Inglês,Básico,Verb to Be,Choose the best answer: "My grandmother's name ___ Adelaide."
Inglês,Básico,Verb to Be,Which of the following is verb to be?
Inglês,Básico,Verb to Be,Which of the following is not verb to be?
Inglês,Básico,Verb to Be,Complete the sentence with the correct alternatives: "_____ ready for your holidays, Lucy? Yes, _____!"
Inglês,Básico,Verb to Be,Complete the sentence: "____ excited about this trip, it's going to be ____!"
Inglês,Básico,Verb to Be,Choose the correct alternative: "Where _______ from?"
Inglês,Básico,Verb to Be,Complete the sentence: "The food there ___ really good but the waiters ___ quite rude."
Inglês,Básico,Verb to Be,Choose the correct alternative: "____ Zurich the capital of Switzerland? No, ____ Bern."
Inglês,Básico,Verb to Be,Complete the sentence: "I think _____ a bus driver."
Inglês,Básico,Verb to Be,Complete the sentence: "This is Ana. ______ my friend."
Inglês,Básico,Verb to Be,Choose the correct answer: "I'm from a city called Turin. ____ in Italy."
Inglês,Básico,Verb to Be,Complete the sentence: "I'm Cary and this is Thomas. _____ architects."
Inglês,Básico,Verb to Be,Choose the correct alternative:            Mike: "Is she your mom?"  Sarah: "________."                                
Inglês,Básico,Verb to Be,Complete the sentence: "Billy ___ from the United States."
Inglês,Básico,Verb to Be,Choose the correct alternative: "Nice car. _____ yours?"
Inglês,Básico,Verb to Be,Choose the correct answer: "I ____ thirty-one years old."
Inglês,Básico,Verb to Be,Complete the sentence: "______ happy?"
Inglês,Básico,Verb to Be,Choose the correct alternative: "__________ coming to the party?"
Inglês,Básico,Verb to Be,Complete the sentence: "Anna _______ at home at the moment. Please come back later."
Inglês,Básico,Verb to Be,Choose the correct alternative:  Cary: "Where's John?"  James:"________ at work."
Inglês,Básico,Verb to Be,Complete the sentence: "My cousins __________ going downtown tomorrow."
Inglês,Básico,Verb to Be,Choose the correct alternative: "My sister __________ not a child anymore."
Inglês,Básico,Verb to Be,Complete the sentence: "How old _______________? _______________ young?"
